City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
391,Hambantota,LK,78.84,overcast clouds,6.1241,81.1185,Bungalow 63
393,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
400,Harper,LR,75.13,broken clouds,4.375,-7.7169,Screensaver
402,Male,MV,82.45,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
404,Corinto,GR,78.89,clear sky,37.9407,22.9573,Ephira Hotel
407,Guerrero Negro,MX,76.41,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
411,Ushibuka,JP,76.96,broken clouds,32.1906,130.0228,Hotei
412,Alappuzha,IN,78.01,overcast clouds,9.49,76.3264,Panoramic Sea Resort
414,Nabire,ID,75.43,broken clouds,-3.3667,135.4833,Hotel Nusantara I
415,Floriano,BR,89.02,overcast clouds,-6.7669,-43.0225,Hotel Maktub
416,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
420,Puri,IN,81.12,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
429,Crotone,IT,81.19,clear sky,39.0851,17.1178,Helios Hotel
431,Silver City,US,84.16,scattered clouds,32.7701,-108.2803,Copper Manor Motel
432,Gushikawa,JP,85.59,broken clouds,26.3544,127.8686,Kirari Guest House
434,Ninh Binh,VN,78.26,moderate rain,20.2539,105.975,Kinh Do Hotel
436,Sao Felix Do Xingu,BR,79.02,clear sky,-6.6447,-51.995,Rio Xingu Camping
437,Jishou,CN,75.99,overcast clouds,28.3167,109.7167,7 Days Inn
440,Aswan,EG,88.74,broken clouds,24.0934,32.907,Nuba Nile
442,Albertville,US,89.06,clear sky,34.2676,-86.2089,Microtel Inn & Suites by Wyndham Albertville
443,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
459,Mach,PK,79.23,broken clouds,29.8637,67.3298,Naqeebullah Hotel Mach نقیب اللہ ہوٹل مچھ
460,Tevaitoa,PF,77.97,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
462,Taloqan,AF,84.87,clear sky,36.7361,69.5345,Saraisang street
470,Clyde,US,86.7,scattered clouds,41.3042,-82.9752,Red Roof Inn Clyde
471,Cubulco,GT,75.76,broken clouds,15.1333,-90.5833,Familia Guanché Sical
472,Samarai,PG,80.08,scattered clouds,-10.6167,150.6667,Nuli Sapi
476,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
478,Calabozo,VE,83.91,scattered clouds,8.9242,-67.4293,Hotel Giardini
483,Ciudad Bolivar,VE,82.49,broken clouds,8.1222,-63.5497,Hotel Edi
484,Berbera,SO,89.49,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
485,Pacific Grove,US,88.25,clear sky,36.6177,-121.9166,Lovers Point Inn
487,Dakar,SN,78.71,heavy intensity rain,14.6937,-17.4441,Novotel Dakar
493,Dhidhdhoo,MV,81.37,overcast clouds,6.8833,73.1,Dhidhoo beach
494,Shingu,JP,77.74,clear sky,33.7333,135.9833,Shingu UI Hotel
506,Kalmunai,LK,78.53,overcast clouds,7.4167,81.8167,VS Villa
508,Zhob,PK,75.18,scattered clouds,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
509,Bengkulu,ID,75.04,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
511,Corralillo,CU,85.59,light rain,22.9819,-80.5856,Hostal De Pedri
512,Thanatpin,MM,77.18,overcast clouds,17.2119,96.3033,Lo Ta Ya Garden
513,Wausau,US,89.51,few clouds,44.9591,-89.6301,"Jefferson Street Inn, a Member of Radisson Individuals"
519,Sokoni,TZ,75.31,clear sky,-6.4333,39.55,Ujamaa Beach Resort
522,Quesnel,CA,83.19,clear sky,52.9999,-122.5029,Ramada by Wyndham Quesnel
525,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Pirineos
527,Mecca,SA,87.84,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
528,Cartagena,CO,83.82,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
540,Nisia Floresta,BR,79.18,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
541,Natal,BR,79.02,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
543,Kudahuvadhoo,MV,82.44,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
549,Vila Franca Do Campo,PT,75.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
551,Oriximina,BR,81.55,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
555,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
560,Buala,SB,82.38,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
561,Sao Filipe,CV,75.22,broken clouds,14.8961,-24.4956,Hotel Xaguate
562,Upata,VE,82.18,scattered clouds,8.0086,-62.3989,Posada Villa Nela
563,Alpena,US,89.11,broken clouds,45.0617,-83.4327,Days Inn by Wyndham Alpena
566,Callaway,US,87.96,few clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
568,Lambare,PY,80.19,clear sky,-25.3468,-57.6065,La casa de Víctor-Jacinto
572,Dwarka,IN,81.93,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
577,Saint-Georges,GD,82.08,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
578,San-Pedro,CI,75.31,scattered clouds,4.7485,-6.6363,Hotel Maria
579,Mantua,IT,87.04,scattered clouds,45.1667,10.7833,Hotel la Favorita
584,Bangkalan,ID,75.15,broken clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
589,Mogadishu,SO,75.83,scattered clouds,2.0371,45.3438,Hotel Juba
590,Bhuban,IN,78.46,overcast clouds,20.8833,85.8333,Prasanta Sahoo
591,Tual,ID,77.49,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
593,Marsa Matruh,EG,77.41,clear sky,31.3525,27.2453,Beau Site
594,Daru,PG,76.89,broken clouds,-9.0763,143.2092,Daru Lodge
